id,name,lat,long,count,duration,q10_max,q50_max,q90_max,q10_min,q50_min,q90_min
725,CHM00054776,37.5,117.533,2.6,13,26.12,30.3,32,234.098,25.331,261.032
726,CHM00054823,37.4,122.683,4.4,11,35.3,37.5,42,313.828,32.756,345.286
727,CHM00054843,36.6,117.05,4.6,7,33.86,36.7,38.8,305.578,31.213,32.414
728,CHM00054857,36.767,119.183,2.4,25.5,30.3,31.75,35.75,25.553,27.456,285.995
729,CHM00054916,36.067,120.333,4.4,10,34.12,36.7,41.1,31.011,31.994,339.627
730,CHM00055228,35.567,116.85,2.2,24,21.38,24.4,26.18,18.52,20.862,214.512
731,CHM00055279,32.5,80.083,5,10,14.5,18.6,18.9,13.012,14.488,14.831
732,CHM00055299,31.367,90.017,4,12.5,18.75,20.6,21.3,14.876,15.731,16.177
733,CHM00055578,31.483,92.067,4.4,8,24.29,25.7,27.3,215.377,222.295,231.291
734,CHM00055591,29.25,88.883,3.8,8,24.88,26.8,27.5,224.094,22.988,239.758
735,CHM00056004,29.667,91.133,4,12.5,17,20.25,21.8,13.932,149.435,155.245
736,CHM00056021,34.217,92.433,3.6,13,18.1,21.3,23.9,149.261,158.235,172.646
737,CHM00056029,34.133,95.783,4,8,23.95,27.2,28.15,200.015,21.629,222.585
738,CHM00056033,33,96.967,4.6,10,16.82,21,22.22,129.104,14.461,159.734
739,CHM00056046,34.917,98.217,4.4,8.5,18.57,22,23,152.831,16.864,18.486
740,CHM00056079,33.75,99.65,4.4,8,19.66,22.5,24.43,166.325,18.307,198.363
741,CHM00056080,33.583,102.967,4,8,23.25,27.1,29.15,193.535,207.835,22.449
742,CHM00056096,35,102.9,3.8,10,32.7,35.5,38.2,299.974,31.871,328.432
743,CHM00056106,33.4,104.917,4.2,10,20.6,23.4,24.92,173.508,18.717,194.014
744,CHM00056116,31.883,93.783,5,11,21.9,25.5,26.7,18.718,19.509,20.265
745,CHM00056137,31.417,95.6,3.8,11,27.86,29.3,31.7,24.449,24.795,255.498
746,CHM00056146,31.15,97.167,4.8,8,24.59,26.3,27.3,214.314,22.109,228.395
747,CHM00056172,31.617,100,3.2,6.5,29.03,32.3,34.6,25.44,27.445,284.592
