id,name,lat,long,count,duration,q10max,q50max,q90max,q10min,q50min,q90min
1,AEM00041194,25.333,55.517,3,10,44.6,46.4,47.1,41.402,41.975,42.743
2,AEM00041217,25.255,55.364,2.6,14,45.5,47.3,48.54,430.014,43.631,444.958
3,AFM00040938,24.433,54.651,1,94,37.316,37.316,37.316,36.031,36.031,36.031
4,AFM00040948,34.21,62.228,1.4,72,33.283,36,38.84,32.299,32.894,343.042
5,AG000060390,34.566,69.212,5,8,36.4,40.5,43.6,31.204,32.698,33.979
