name;lat;long;count;duration;q10_max;q50_max;q90_max;q10_min;q50_min;q90_min
RSM00022471;65,467;39,733;3,4;11;27,92;31,9;33,7;20,3432;22,567;23,6652
RSM00022520;65,87;44,22;4;16;22,3;27,2;29,95;17,6415;18,845;20,536
RSM00022525;64,9831;34,8164;1;92;18,351;18,351;18,351;16,896;16,896;16,896
RSM00022529;64,566;34,917;1;94;19,84;19,84;19,84;18,843;18,843;18,843
RSM00022550;64,233;35,883;3,4;13;30,12;31,1;32;22,1954;23,851;25,396
RSM00022551;64,5;40,7331;1;92;19,369;19,369;19,369;17,581;17,581;17,581
RSM00022559;64,849;40,283;1;94;21,015;21,015;21,015;18,964;18,964;18,964
RSM00022563;64,217;41,667;3;10;23,2;31,6;31,8;18,763;21,322;24,534
RSM00022573;64,7;43,383;1;92;20,431;20,431;20,431;18,315;18,315;18,315
RSM00022583;64,9;45,767;2;18;27;31,85;34,3;22,0955;24,179;27,873
RSM00022602;64,75;47,65;3,2;7,5;25;28,65;30,27;20,3141;21,1185;22,4114
RSM00022619;63,82;30,82;3,2;12,5;25,46;27,4;30,1;20,1929;21,0585;22,6873
RSM00022621;63,27;33,42;3;16;24,4;28,8;31,4;19,753;20,548;23,745
RSM00022641;63,767;34,283;2,8;12,5;25,41;31,4;34,3;21,5182;22,823;24,3565
RSM00022648;63,9;38,1167;1;90;21,696;21,696;21,696;19,575;19,668;19,668
RSM00022656;63,117;39,233;1;94;21,416;21,416;21,416;19,436;19,436;19,436
RSM00022676;63,483;41,8;2,8;16;24,49;31,9;34,02;18,916;23,921;26,9773
RSM00022686;63,6;45,6;1;94;20,322;20,322;20,322;19,709;19,709;19,709
RSM00022695;63,45;47,917;1,2;91;21,664;21,664;32,05;19,2515;19,31;24,1916
RSM00022721;63,45;48,9;2,8;11;23,25;28,6;31,9;20,4545;22,3805;23,7843
RSM00022727;62,917;34,433;1;92;20,402;20,402;20,402;19,56;19,56;19,56
RSM00022762;62,167;34,3;1;92;22,125;22,125;22,125;20,026;20,026;20,026
RSM00022768;62,867;42,717;2,8;12;27,26;31,7;33,2;23,1334;24,5905;26,3028
RSM00022778;62,1;42,9;2,4;18;21,5917;29,45;33,7;18,8845;21,1645;23,1498
RSM00022798;62,233;45,017;1,4;68;22,523;29,2;32,74;20,398;21,17;22,2252
RSM00022802;62,167;49,117;2,8;14,5;24,39;27,6;30,14;20,7684;21,5455;23,2885
RSM00022820;61,7167;30,7167;2,8;17,5;22,22;29,25;30,6;19,3125;22,3015;22,9169
RSM00022831;61,8167;34,2667;2,6;8;25,8;30,6;31,74;22,4258;24,05;25,297
RSM00022837;61,8;36,517;2,6;8;27,6;30,3;33,9;22,565;24,137;25,5022
RSM00022845;61,0167;36,45;2,8;13,5;27,12;29,5;33,1;22,5208;24,1475;25,2976
RSM00022854;61,5;38,93;3,2;17;25,78;30,6;33,1;21,8529;23,0085;24,7584
RSM00022867;61,7;40,2;3;8;26,1;31,3;34,8;22,16;23,724;25,276
RSM00022887;61,083;42,067;3,4;8;27,58;31,6;32,92;22,347;24,382;25,7588
RSM00022892;61,2331;46,7167;3,2;11;26,08;28,85;31,4;20,8868;22,4565;24,156
RSM00022912;60,72;28,8;1;94;20,916;20,916;20,916;19,842;19,842;19,842
RSM00022913;60,983;32,983;1;94;21,766;21,766;21,766;21,27;21,27;21,27
RSM00022917;60,717;33,55;1;94;21,742;21,742;21,742;21,147;21,147;21,147
RSM00022925;60,117;32,317;1;94;20,969;20,969;20,969;19,88;19,88;19,88
RSM00022939;60,633;34,783;3,8;8;21,02;29,6;32,54;19,1282;21,384;22,543
RSM00022954;60,033;37,783;3,2;10,5;24,26;30,4;33,1;19,682;22,598;23,6518
RSM00022981;60,467;40,2;3,2;15;26,64;31,4;32,7;22,2666;24,1725;25,7898
RSM00022996;60,8;46,3;3,4;9;28;31,8;33;21,5202;23,239;25,2636
RSM00023022;60,367;49,65;3,6;11,5;22,56;25,6;29,07;11,5856;13,027;14,3462
