name;lat;long;count;duration;q10_max;q50_max;q90_max;q10_min;q50_min;q90_min
AEM00041194;25,333;55,517;3;10;44,6;46,4;47,1;41,402;41,975;42,743
AEM00041217;25,255;55,364;2,6;14;45,5;47,3;48,54;43,0014;43,631;44,4958
AFM00040938;24,433;54,651;1;94;37,316;37,316;37,316;36,031;36,031;36,031
AFM00040948;34,21;62,228;1,4;72;33,283;36;38,84;32,299;32,894;34,3042
AG000060390;34,566;69,212;5;8;36,4;40,5;43,6;31,204;32,698;33,979
AG000060590;36,7167;3,25;2,4;24;43,95;47,25;47,5;40,8269;42,1045;42,7662
AG000060611;30,5667;2,8667;4,4;9;40,94;43,8;45,9;39,1697;39,952;41,3747
AGE00147708;28,05;9,6331;2,2;16;36,0048;43;44,64;34,5894;36,009;36,9214
AGE00147716;36,72;4,05;2,4;13,5;31,0454;34,6;36;28,0151;28,7425;30,7047
AGE00147718;35,1;-1,85;2,4;29,5;41,2;46,45;47,2;38,5169;40,1975;41,1354
AGE00147719;34,85;5,72;1,6;61,5;38,211;42,8;43,5;36,4332;38,008;39,0694
AGM00060355;33,7997;2,89;4,6;10;33,84;37,1;41,8;28,8932;29,683;31,8816
AGM00060360;36,933;6,95;4,6;11;39,86;43;44,4;30,7186;31,914;34,5398
AGM00060419;36,822;7,809;3,2;16;37,02;41,1;42,45;33,0893;34,8755;35,9104
AGM00060425;36,276;6,62;3,4;19;40,2;44;46,5;35,9402;37,51;38,8364
AGM00060430;36,213;1,332;3,6;15,5;38,71;40,05;44,45;32,7158;34,1245;35,9731
AGM00060445;36,3;2,233;3,4;18;34,42;37,8;39,2;31,4868;33,535;34,5244
AGM00060475;36,178;5,324;3,6;14;38,49;40,5;41,5;33,8587;35,1445;36,3769
AGM00060490;35,432;8,121;3,6;9;35,53;39,2;40,41;31,0814;31,752;33,0372
AGM00060507;35,624;-0,621;2,2;15;36,705;36,775;44,02;33,6266;36,437;37,0242
AGM00060555;35,208;0,147;3;22;44,2;47,4;48,8;39,574;41,219;42,248
AGM00060559;33,068;6,089;2,4;26;43,91;47,6;48,2;39,9777;40,9915;41,916
AGM00060566;33,511;6,777;2,4;27,5;43,16;45,4;46,06;39,3141;40,3995;40,9447
AGM00060571;32,384;3,794;2;39,5;38,6;43,3;44;37,2285;39,4575;40,1515
AGM00060580;31,646;-2,27;2,8;9;41,8034;48,5;49;40,3487;42,6225;43,1447
AGM00060581;31,917;5,413;2,4;23,5;42,81;48,4;49,4;40,8473;42,6225;43,7959
AGM00060607;31,673;6,14;3;11;42,3;48,2;48,7;41,672;44,124;44,999
AGM00060620;29,237;0,276;2,8;9;45,98;48,6;49,4;43,8845;45,5415;46,0348
AGM00060640;27,838;-0,186;3,4;13;45,08;45,6;47;41,498;41,891;43,0502
AGM00060656;26,724;8,623;3,6;18,5;44,1;46;47,7;41,7492;42,8205;43,7401
AGM00060670;27,7;-8,167;5,6;7,5;40,5;40,9;41,38;38,0306;38,3045;39,0715
AJ000037575;24,293;9,452;3;11;29;34;38,4;27,486;29,538;32
AJ000037661;41,55;46,667;1;92;30,973;30,973;30,973;29,694;29,694;29,694
AJ000037675;41,217;47,167;1;92;28,685;28,685;28,685;27,735;27,735;27,735
AJ000037735;41,367;48,517;2,6;13;29,62;34,5;38,98;28,862;30,355;31,712
AJ000037740;40,7167;46,4167;1,4;92;26,55;29,762;29,762;26,55;28,614;28,662
AJ000037747;40,983;47,867;1;92;35,54;35,54;35,54;32,957;32,957;32,957
AJ000037749;40,617;47,15;1;92;34,412;34,412;34,412;33,268;33,268;33,268
AJ000037756;40,65;47,75;1;64;30,474;30,474;30,474;30,091;30,091;30,091
AJ000037905;40,533;48,933;1;92;33,66;33,66;33,66;32,718;32,718;32,718
AJ000037923;39,767;47,75;1;92;32,215;32,215;32,215;31,314;31,314;31,314
AJ000037925;39,967;49,4;1;92;32,124;32,124;32,124;30,964;30,964;30,964
AJ000037985;39,4;49,25;2;38,5;29,1;34,1;35,75;27,288;29,397;30,6635
AJ000037989;38,75;48,817;1,2;92;29,944;29,944;38,74;28,3336;28,735;29,9536
AM000037682;38,5;48,9;1,6;43,5;23,6;26,479;28,51;21,7258;23,2855;23,9677
AM000037699;40,783;43,833;1;64;25,908;25,908;25,908;25,17;25,17;25,17
AM000037704;40,533;44,383;1;64;25,437;25,437;25,437;25,117;25,117;25,117
AM000037711;40,817;44,5;1;92;28,88;28,88;28,88;27,593;27,593;27,593
AM000037787;40,867;45,15;1;64;34,123;34,123;34,123;32,579;33,869;33,869
AM000037792;40,133;44,05;1;64;27,342;27,342;27,342;26,224;26,224;26,224
AM000037801;40,483;44,75;2,6;16;24,5;27,5;34,1;22,165;23,507;24,9812
AM000037897;40,35;45,1331;1;92;25,825;25,825;25,825;24,663;24,663;24,663
AM000037959;39,533;46,017;1;92;30,906;30,906;30,906;29,398;29,398;29,398
AO000066160;39,2;46,433;2,8;5;31,2387;33,4;34,5;30,6872;31,241;31,2965
AO000066390;-8,85;13,233;1;63;28,345;28,345;28,345;28,198;28,198;28,198
AO000066422;-14,933;13,567;1;121;28,599;28,599;28,599;27,778;27,78;27,78
AQW00061705;-15,2;12,15;3,6;4;31,85;32,8;34,4;31,1084;32,193;32,3578
AR000000011;-14,3306;-170,7136;6,2;5;35,64;36,6;39,5;33,2236;33,758;34,4316
AR000087007;-30,267;-57,65;1,2;8;21,196;24,75;25,9;21,09;22,3045;22,5932
AR000087129;-22,1;-65,6;2,6;6;39,68;41;44,36;35,1964;35,818;38,735
AR000087155;-27,767;-64,3;2,2;7;35,96;37,2;39,4;33,2638;34,331;35,5148
AR000087217;-27,45;-59,05;5,4;6;40,24;41,4;44,5;36,1304;36,611;37,9308
AR000087257;-29,383;-66,817;2,8;6;36,29;37;40;32,7875;33,596;34,6603
AR000087270;-29,883;-61,95;3;8;34,8;37,8;39,5;32,292;33,344;34,396
AR000087344;-29,183;-59,7;3,4;6;33,5;35,8;40,32;29,3564;31,579;32,78
AR000087374;-31,317;-64,217;4,2;8;35,24;37;38,16;31,654;32,167;32,832
AR000087418;-31,783;-60,483;5,2;6;37,05;38,3;44,4;32,1805;33,447;34,9458
AR000087534;-32,833;-68,783;5;7;33,8;37,3;38,8;29,985;32,001;32,981
AR000087623;-34,133;-63,367;5,4;7;34,7;37,2;40,2;30,0254;31,961;34,117
AR000087692;-36,567;-64,266;4,6;6;32,12;37,2;38,3;25,4616;28,164;30,1436
AR000087715;-37,933;-57,583;6,2;6;36,6;37,5;39,6;30,9454;32,623;33,598
AR000087803;-38,95;-68,133;4,4;6;25,2;29,2;33,4;22,2865;23,996;25,5869
AR000087828;-42,933;-71,15;6,6;6;34,9;37,5;40,3;29,4598;29,9;31,0156
AR000087860;-43,2;-65,266;6;6,5;30,3;35,2;37,5;26,3035;26,8595;28,5165
AR000087925;-45,783;-67,5;5,4;6;26;27,6;31,8;19,8678;20,616;22,3454
AR000870470;-51,617;-69,283;1,4;5;30,88;32,5;37;29,8408;30,4;33,778
AR000875850;-24,85;-65,483;4,6;8;33,48;36,8;37,6;30,1724;30,76;31,6694
AR000877500;-34,583;-58,483;5,6;6;36,2;38;41,5;31,4382;32,533;33,1678
ARM00087016;-38,733;-62,167;2,6;21;34,1948;35;38;33,819;33,925;34,833
ARM00087178;-23,153;-64,329;5,4;4;35,9;37,7;38,5;34,022;34,573;35,5036
ARM00087436;-27,386;-55,971;8,8;5;34,45;36,7;39;31,479;32,601;33,3866
ARM00087480;-33,273;-66,356;6,8;5;34,94;36,7;39,3;31,9946;32,5045;32,9806
ARM00087497;-32,904;-60,785;7;5;35,8;36,9;39;32,185;32,719;33,492
ARM00087506;-33,01;-58,613;7,2;5,5;32,51;35;35,9;28,9529;30,039;30,8999
ARM00087548;-35,494;-69,574;7,4;5;33,9;36,5;37,6;30,5528;31,535;32,0682
ARM00087576;-34,546;-60,931;7,4;5;35,02;36,5;39,3;30,9584;31,442;32,2074
ARM00087765;-34,822;-58,536;6,4;5;28,5;31,3;33,3;23,1991;24,0925;26,1587
ARM00087774;-41,151;-71,158;8,4;6;30,7;32,75;34,95;26,617;27,4645;28,3024
ARM00087784;-41,25;-68,733;8;5;36,9;38,6;39;31,0585;31,796;32,43
ARM00087852;-40,783;-65,1;7,4;5;24;25,7;32;21,138;22,329;23,5842
ARM00087938;-46,517;-71,017;6;4;16,95;20,4;27,5;14,739;15,344;16,535
ASM00094299;-54,843;-68,296;5,4;8;30,8;33,4;35,2;30,161;31,057;32,3902
ASM00094995;-16,288;149,965;4,6;8;26,12;27,4;28,36;24,6172;25,083;25,651
ASN00002012;-31,542;159,079;4,4;6,5;39,02;41,1;44,1;37,6656;39,0475;39,9441
ASN00003003;-18,2292;127,6636;1,2;7;35,4;37,5;42,33;33,5971;33,9765;36,0563
ASN00004032;-17,9475;122,2353;2,6;7;42,38;44,8;46,3;38,2928;39,813;40,291
ASN00005007;-20,3725;118,6317;3,8;7;41,3;43,4;48,2;37,0542;38,776;41,274
ASN00005026;-22,2406;114,0967;4,4;7,5;41,63;45;45,1;38,2783;40,59;41,6395
ASN00006011;-22,2425;118,3358;3,8;8;36,96;39,6;44,2;31,9972;33,529;35,3912
ASN00007045;-24,8878;113,67;4,4;9;42,2;43,2;44,5;36,237;39,0945;40,3093
ASN00007176;-26,6136;118,5372;5,2;7,5;41;43,5;44;38,0819;39,9715;40,68
ASN00008051;-23,4169;119,7989;3,2;7,5;38,24;41,3;43,3;32,6778;34,613;36,4808
ASN00009021;-28,7953;114,6975;4,6;8;37,48;41,1;43,32;32,6202;33,267;34,5456
ASN00009518;-31,9275;115,9764;6;5;25;29;37;23,0355;23,688;25,1795
ASN00009741;-34,3728;115,1358;3,4;6;28,7;34,8;41,14;25,4808;25,933;28,0958
ASN00009789;-34,9414;117,8022;3,6;7;34,71;41;44;26,4383;28,7405;30,0871
ASN00011003;-33,83;121,8925;3,6;6;35,86;43,1;43,4;28,8684;29,3055;30,7727
ASN00012038;-31,6797;128,8792;4,6;5;37;41,4;45,8;31,982;34,32;36,0614
ASN00013017;-30,7847;121,4533;4,8;6;39,71;41,8;43,4;35,794;37,3755;38,11
ASN00014040;-25,0341;128,301;3,4;6;34,8;36,1;36,52;33,7464;34,043;34,7808
ASN00014508;-12,4227;130,8844;3,8;7;33,7;35,1;36,46;32,444;33,374;33,8484
ASN00014932;-12,2741;136,8203;3,8;7;38,4;40,3;41;36,638;37,517;39,0824
ASN00015135;-14,5229;132,3826;3,2;9;40,02;40,9;42,3;36,9688;37,7975;39,1547
ASN00015548;-19,6423;134,1833;1;8;38,706;41,8;46,3;38,617;40,983;41,621
ASN00015590;-20,1883;130,0161;3,6;8,5;40,86;42,9;45;37,1167;37,7655;39,7559
ASN00016001;-23,7951;133,889;3,8;10;43,16;44,9;46,3;35,7962;37,09;38,8126
ASN00017043;-31,1558;136,8054;4;9;43,45;46,9;47,15;38,059;40,391;41,9955
ASN00018011;-27,5553;135,4456;3,2;8,5;43;44,2;47,8;31,1044;32,3755;33,9114
ASN00023031;-32,1267;133,6725;4,2;9;37,9;41,8;43,8;28,6928;31,304;33,7876
ASN00026020;-34,9697;138,6331;3,8;7;35,28;39,6;41,6;26,3654;28,951;30,3386
ASN00026026;-37,8333;140,7833;4,4;6;29,3;33,8;35,7;22,3392;24,8845;26,0789
ASN00029004;-37,1628;139,756;2,8;5;35,373;38,55;40,3;35,373;36,0395;36,8403
ASN00029126;-17,7425;139,5475;1,8;6;39,9;41;43,6;37,5938;38,939;40,7546
ASN00030045;-20,7361;139,4817;3;8;40,1;42,4;43;38,18;39,28;40,164
ASN00031010;-20,7289;143,1425;5;8;32,8;34,5;37,4;31,361;31,855;32,604
ASN00032040;-16,9333;145,7833;5,2;7;34,3;35,3;38,17;31,8413;32,782;33,9199
ASN00033119;-19,2483;146,7661;3,6;5;33,1;34,5;35,49;30,6845;31,8615;32,8576
ASN00036031;-21,1172;149,2169;3,6;6,5;40,8;41,55;45,2;37,5274;39,687;40,0892
ASN00039083;-23,4372;144,2769;3,6;8;36,5;39,75;40,6;34,0158;34,704;35,1405
ASN00039123;-23,3753;150,4775;4,6;6;33,4;35,9;37,8;31,4818;32,569;33,5532
ASN00040004;-23,8553;151,2628;3,4;7;36,8;40,7;41,6;32,2208;33,377;34,9354
ASN00040223;-27,6297;152,7111;5;7;31,2;36;40,2;29,157;29,86;30,709
ASN00044021;-27,4178;153,1142;3,8;8;38,6;41,9;43,1;35,4864;36,8;38,7654
ASN00046037;-26,4139;146,2558;4,2;10;41,4;45,3;47,2;36,766;39,504;40,9498
ASN00047007;-29,4345;142,0098;3,4;11;42,04;44,2;46,8;33,9692;36,087;38,232
ASN00048027;-31,9759;141,4676;3,8;12;40,5;45,7;47;33,8738;37,267;39,0096
ASN00056018;-31,484;145,8294;4,8;7;31,7;36,7;37,84;29,316;30,953;32,4141
ASN00058012;-29,7752;151,0819;5,2;7;29,1;32,6;42,5;26,7518;27,5095;29,5791
ASN00059040;-29,4333;153,3633;4,2;6;30,9;31;41,44;27,184;27,75;31,1578
ASN00061078;-30,3107;153,1187;4,2;5;37,3;40,4;42,44;29,5602;31,41;32,432
ASN00063005;-32,7932;151,8359;4,6;8;33,4;37,3;39;28,3392;30,327;32,502
ASN00066037;-33,4289;149,5559;4,2;7;34,12;37,7;41,1;28,016;28,338;30,0436
ASN00067033;-33,9465;151,1731;4,4;7,5;37,54;41;42,85;30,4297;32,021;32,734
ASN00068072;-33,6022;150,7794;3,6;5;33,41;39,2;45,1;28,4041;28,95;29,4557
ASN00069018;-34,9469;150,5353;3,6;5,5;29,57;38,5;42,06;24,765;25,6985;27,1591
ASN00070015;-35,9093;150,1532;4,8;8;34,4;37,6;39,8;28,379;29,538;31,3438
ASN00072091;-35,3;149,1;4;7,5;25,2;27,85;39,6;20,2465;21,419;24,9045
ASN00072150;-35,9383;148,3842;4;10;37,8;41,65;43,95;31,497;34,124;34,8125
ASN00073054;-35,1583;147,4573;3,8;12;39;42,6;44,36;32,6512;34,753;36,0616
ASN00076031;-33,9262;147,2418;4,4;8;40,78;44,5;46,6;33,5201;34,952;37,2653
ASN00078015;-34,2358;142,0867;2,8;21;31,119;35,3095;45,6;30,214;30,8795;34,7374
ASN00085096;-36,3092;141,6486;4,6;6;27,54;35;39;21,1582;22,417;23,5742
ASN00085298;-39,1297;146,4244;4,4;6;30,84;38,1;42,5;25,4005;28,0805;29,0138
ASN00086282;-38,1072;147,1317;3,6;5,5;33,43;40,4;43,73;26,5749;28,843;30,079
ASN00087031;-37,6655;144,8321;4,6;6;36,8;41;45;26,9726;28,357;29,4272
ASN00090015;-37,8565;144,7566;4,4;5;30;35,5;39;22,03;23,8335;25,7631
ASN00091311;-38,8556;143,5128;4;6,5;26,55;30,25;34,9;22,836;24,784;25,546
ASN00092045;-41,5492;147,2144;7,4;5;24;26;33,8;21,6526;22,543;23,3236
ASN00094008;-40,9928;148,3467;4,4;5,5;28,2;33;37,2;22,9063;24,621;25,3521
ASN00094010;-42,8339;147,5033;4,2;6;24,52;29,5;32,3;19,0984;20,82;21,4668
AU000005010;-43,4892;147,1453;3,6;16;27,46;31,85;32,3;24,6361;25,8625;27,9
AU000005901;48,05;14,1331;3,6;12,5;30,4;34,6;36,52;24,2667;27,4705;29,3776
AU000006306;48,2331;16,35;3,8;13;30,5;32,8;34,28;24,5724;26,555;28,3498
AU000011801;47,8;13;4,8;9;31,28;33,5;36,3;25,9763;27,3205;29,8122
AU000015410;47,2667;11,4;4,2;13;8,86;11,8;14,1;4,909;6,4915;8,44312
AU000016402;47,05;12,95;4,6;12;30,8;33,6;35,26;24,2794;27,208;29,27
AUM00011155;47,0831;15,45;5;7;21,2;23,5;24,8;16,123;16,516;18,264
AUM00011212;47,817;13,717;4,2;11;17,18;18,6;19,8;12,115;12,806;15,2112
AUM00011231;46,6;13,667;4,6;11;30,14;32,8;35,56;23,967;27;28,5502
AYM00088963;46,65;14,333;2,8;5;8,2;10,25;13,3;5,64572;6,625;7,67409
AYM00088968;-63,4;-56,983;0;NA;NA;NA;NA;NA;NA;NA
AYM00089022;-60,733;-44,733;4,8;9,5;0,8;2,5;10;-2,31106;-1,8606;-1,019399
AYM00089034;-75,45;-26,217;4,6;8;4,5;5;6,76;0,312026;0,68618;1,25366
AYM00089055;-77,867;-34,617;3,8;6;7;8,5;12,4;3,97438;4,4223;6,43654
AYM00089564;-64,233;-56,717;3,4;31;3,88;5,6;7,5;1,30234;1,9515;2,4621
AYM00089571;-67,6;62,867;3,8;20;4,5;6;10,52;1,69944;2,7523;4,20822
AYM00089611;-68,583;77,95;4,2;10;4;4,9;6,7;0,97484;1,8748;2,2813
AYW00090001;-77,4167;163,6833;2;32;-26,141;-26,105;-26,069;-26,511;-26,4815;-26,452
BA000041150;-90;0;2,2;14;42,96;44,5;46,9;39,4676;39,945;41,0396
BB000078954;26,267;50,65;0;NA;NA;NA;NA;NA;NA;NA
BC000068032;13,067;-59,483;4,2;5;38,32;38,6;40,66;36,1504;36,433;37,752
BC004612080;-19,983;23,417;2;45,5;39,336;39,336;39,75;38,746;38,822;38,8925
BC005847300;-26,467;20,617;0;NA;NA;NA;NA;NA;NA;NA
BC008382520;-24,667;25,917;3,4;6;36,88;38,5;41,9;34,5788;35,775;38,0088
BC008948490;-21,7;21,65;2,6;6;35,5;38,9;40;33,5164;35,284;36,1976
BC012192590;-21,217;27,5;2,4;3,5;35,7553;36,65;38,8;34,5168;35,323;36,1827
BDM00078016;-17,817;25,15;1;94;29,866;29,866;29,866;29,296;29,296;29,296
BE000006447;32,3667;-64,6833;4,2;11;27,54;31,8;33,5;22,453;23,836;25,4058
BF000078073;50,8;4,35;4,6;6;33,18;34;34,5;32,1446;32,503;32,802
BGM00041891;25,05;-77,467;4,8;5;35;35,6;37;32,7018;33,192;33,5935
BGM00041923;24,963;91,867;0,4;5,5;35,2;35,2;35,2;33,561;33,7305;33,9
BGM00041950;23,779;90,383;2,4;8;34,5;35,8;36,36;33,5738;33,952;34,2398
BHM00078583;22,75;90,367;6,4;9;32,0502;33,2;34,1;31,6644;31,877;32,3882
BKM00014652;17,539;-88,308;3,8;13;17,74;20,8;23,3;13,7316;14,873;16,0376
BKM00014654;44,0667;18,2667;3,8;13;32,08;35,4;38,2;27,8892;29,14;30,266
BLM00085196;43,8667;18,4331;0,2;4;36,4;36,4;36,4;35,175;35,175;35,175
BLM00085201;-16,25;-62,1;3;5;17,2;19,2;25,2;16,596;16,929;18,262
BLM00085207;-16,513;-68,192;0,2;3;36;36;36;34,275;34,275;34,275
BLM00085242;-16,367;-60,95;4,8;4;20,439;23,7;26,6;20,439;21,5565;22,8296
BLM00085245;-17,963;-67,076;0,8;6,5;35;35,2;36,6;33,038;33,7235;34,14
BLM00085247;-17,812;-63,171;0,6;3;39,5;39,5;40;37,039;37,189;37,513
BLM00085268;-17,833;-60,75;1;5;38,2;40,2;41;36,543;37,28;39,18
BLM00085289;-18,317;-59,75;0,4;4;38,3;38,3;38,3;35,006;35,034;35,062
BMM00048008;-18,975;-57,821;1,2;4,5;34,77;36,2;37,88;33,0803;33,8245;34,2307
BMM00048042;25,367;97,4;0,6;4;38,7;39,3;40,2;37,577;37,577;38,7
BMM00048062;21,983;96,1;2,6;5;33,12;35;37;32,4696;32,836;33,8478
BMM00048097;20,133;92,873;1,6;15;37,56;39,5;41,2;36,4996;37,7155;38,7358
BMM00048112;16,907;96,133;2,4;5;33,13;34,2;35;32,6287;33,075;33,606
BN000005319;9,967;98,583;3,2;8,5;38,64;40;40,5;36,996;37,459;38,7626
BN000005344;10,32;1,48;6;6;32,9;34;35,9;32,135;32,4375;32,9815
BOM00026554;6,35;2,38;4,8;7,5;24,73;27,7;32,8;21,4004;22,765;25,8947
BOM00026643;55,817;27,95;1;92;23,535;23,535;23,535;22,436;22,436;22,436
BOM00026645;55,367;27,467;4,4;9,5;24,76;29,4;33,49;20,8468;22,355;25,1647
BOM00026653;55,05;26,317;1;94;23,751;23,751;23,751;22,635;22,635;22,635
BOM00026657;55,467;28,767;1;94;23,133;23,133;23,133;21,947;21,947;21,947
BOM00026666;54,883;27,75;3,2;7,5;28,5;30,3;34;22,2519;23,6705;25,8419
BOM00026759;55,167;30,217;1;94;23,712;23,712;23,712;22,774;22,774;22,774
BOM00026763;54,267;28,5;3,2;7,5;27,05;31,2;32,99;21,7376;23,8105;26,2555
BOM00026774;54,5;30,417;1;94;23,801;23,801;23,801;22,673;22,673;22,673
BOM00026832;54,3;30,933;4,2;8;25,56;30,1;33,82;21,4614;23,217;26,1354
BOM00026836;53,85;25,317;1;94;21,985;21,985;21,985;21,314;21,314;21,314
BOM00026850;53,6;25,85;4;8;26,5;30,4;33,35;22,3415;23,825;26,6245
BOM00026853;53,87;27,53;1;94;24,408;24,408;24,408;23,422;23,422;23,422
BOM00026855;53,833;28,983;1;94;24,342;24,342;24,342;23,313;23,313;23,313
BOM00026864;53,45;28,133;1;94;24,523;24,523;24,523;23,632;23,632;23,632
BOM00026878;53,5;29,333;1;94;24,507;24,507;24,507;23,409;23,409;23,409
BOM00026887;53,45;31,017;4,2;9;26,6;28,3;33,04;21,9636;23,08;27,4092
BOM00026923;53,35;32,067;1;92;23,166;23,166;23,166;22,422;22,422;22,422
BOM00026938;53,167;24,45;1;94;22,71;22,71;22,71;22,07;22,07;22,07
BOM00026941;52,717;25,35;4,4;9;27,7;31,55;32,9;22,9374;24,1215;27,0642
BOM00026951;53,117;26;4,2;7;27,5;30,8;35;22,2192;24,977;27,458
BOM00026961;53;27,7;4,4;7,5;27,61;31;33,7;22,5622;24,152;27,3472
BOM00026966;53,217;29,183;1;94;25,035;25,035;25,035;24,13;24,13;24,13
BOM00033008;52,9;30,033;4,4;8;26,5;32,2;34,5;22,4015;25,236;27,1423
BOM00033019;52,1167;23,6831;4,6;8;28,44;32,3;33,56;23,3714;24,886;27,2058
BOM00033027;52,117;26,117;3,6;10;31,1;33,3;34,94;24,4291;25,2655;28,5554
BOM00033036;52,217;27,867;5;9;27,2;31,4;35,4;22,341;25,137;28,603
BOM00033038;51,95;29,167;3,6;10;28,3;31,7;34,9;24,1728;25,606;28,7612
BOM00033041;52,25;29,8331;3;12;27,7;31,8;35,3;23,786;25,471;28,388
BOM00033124;52,4;30,95;1;94;25,056;25,056;25,056;24,179;24,179;24,179
BP000091503;51,817;30,3;1,6;6,5;32,72;33;33;31,7249;31,742;31,8482
BP000091517;-8,333;157,267;0;NA;NA;NA;NA;NA;NA;NA
BPW00080601;-9,417;159,967;0;NA;NA;NA;NA;NA;NA;NA
BR000082400;-9,4333;160,05;2,6;4;31,32;32;32;30,4962;30,598;30,6758
BR000254000;-3,85;-32,417;1;154;33,274;33,274;33,274;32,765;32,776;32,776
BR000352000;-2,433;-54,717;0;NA;NA;NA;NA;NA;NA;NA
BR001957002;-19,65;-43,883;1,4;5;38,32;40,2;41;36,0322;38,17;38,758
BR002143012;-19,083;-57,5;3,2;8;29,0898;30,7;32,3;28,073;28,381;29,1433
BR002245032;-21,767;-43,35;2;32;33,75;33,75;33,75;32,772;33,2025;33,633
BR002554002;-22,783;-45,2;3,8;5;35;35,5;36,8;33,0366;33,315;33,6632
BR00C4-0630;-27,117;-52,617;0,6;32;31,289;32,8;32,8;30,939;30,948;30,962
BR00D6-0010;-21,983;-47,333;2,2;5;31,53;33,8;33,8;31,0246;31,866;32,05
BR00D8-0390;-22,317;-49,117;3,8;4;31,767;34,8;36;31,7634;31,963;33,4108
BR00E3-0520;-23,017;-45,567;5;4;32,4;33,8;34,9;29,988;30,5;31,596
BR00E4-1230;-23,433;-46,467;3,8;4;31,059;32,8;33,8;30,4924;31,123;31,3862
BR027568450;-23;-47,133;0;NA;NA;NA;NA;NA;NA;NA
BR037041370;-2,917;-41,75;3,8;7;37,82;38,9;40,3;36,9438;37,19;37,451
BR038484280;-5,05;-42,817;2,2;12;31,362;32,6;33,88;30,8796;31,657;31,8484
BR038837530;-7,217;-35,883;2,4;5;34,697;36,4;36,55;34,6463;34,7225;35,173
BR038983570;-9,4;-38,217;10,2;4;32,4;35;35,8;31,472;32,149;32,5904
BR039402250;-9,517;-35,783;1;11;31;35,2;35,2;30,715;31,033;31,109
BR047635180;-7,1;-34,867;2,8;4;35,5924;38,5;39,3;34,0446;35,279;35,7595
BR057324290;-13,267;-43,417;2,6;3;31,5612;33,6;36,5;30,438;31,275;32,3792
BRM00082193;-16,717;-43,867;2;3,5;33,05;33,8;35;32,43;32,669;32,926
BRM00083827;-1,379;-48,476;3,2;4;34,5;35,6;37,19;33,1094;33,5955;33,8436
BUM00015552;-25,596;-54,487;2,6;13;29,44;32,2;35,54;26,3494;27,421;30,5114
BUM00015614;43,232;27,825;5;8;29;35,6;39,2;25,503;26,811;29,571
BUM00015730;42,695;23,406;3,2;17,5;32,65;36,55;42,3;28,6986;30,9515;33,3839
CA001011500;41,65;25,383;4,8;9,5;28,15;31,25;34;22,9234;23,958;25,6265
CA001012055;48,9333;-123,75;4;8;31,5;33,75;36;24,3635;25,9535;27,577
CA001012710;48,8333;-124,05;4,8;10;24,5;26,6;29,5;19,1568;19,8845;21,0214
CA001014820;48,4333;-123,4333;4,6;10;27,6;31,3;33,84;22,6104;24,246;25,216
CA001015638;48,5667;-123,5333;5;8;29;32;32;22,788;23,7;24,795
CA001016940;48,7667;-123,2833;5,2;10;26,55;30,5;31,5;21,4154;22,604;24,1683
CA001017230;48,6167;-123,4167;4,4;10;29;30,5;33,6;22,7314;23,506;25,5338
CA001018610;48,65;-123,6333;6,4;8;22,5;30,8;32,02;19,4879;21,5355;23,3927
CA001020590;48,4167;-123,3167;2;16,5;21,36;21,36;31,25;20,7945;21,2665;23,037
CA001021261;49,35;-124,1667;4,2;11;26,78;31;34,32;21,3996;23,188;25,4498
CA001021480;49,95;-125,2667;4;10,5;23,7;27,4;28,5;18,9875;20,072;22,15
CA001021830;50,3333;-125,45;4,2;11;27,12;29,9;32,62;21,1646;23,191;24,6442
CA001021960;49,7167;-124,9;4,6;14;28,5;32;33,5;23,1336;24,615;26,1224
CA001021988;50,0667;-124,95;4;9,5;25,25;30,5;32,5;21,4375;23,4445;23,961
CA001025370;49,7667;-125;4,4;13;28,6;30,5;34,67;22,6169;23,9195;26,0825
CA001026270;49,05;-123,8667;4,4;8;19,43;22,9;25,8;16,6177;17,5835;18,4976
CA001026565;50,6833;-127,3667;4,2;9;26,9;29,5;30,6;21,3066;22,592;25,3188
CA001030230;49,4;-124,6167;3,6;10,5;28,05;32,5;36,7;23,2109;25,4715;27,49
CA001031353;49,3333;-124,9833;3;12;18;18,7;24,5;14,97;16,058;17,277
CA001032730;50,7833;-128,4333;5,4;11;19;22;23,5;16,4658;17,317;18,423
CA001033232;49,3833;-126,55;4,6;8;31,2;34;36;24,4608;26,343;27,5182
CA001035940;49,7833;-126,05;5,8;6;19,2;24;26,6;16,181;16,957;18,824
CA001036240;48,7167;-125,1;4;10;23,5;27,5;30;19,969;21,143;21,6395
CA001036570;50,3833;-127,45;5;8;23,5;26,5;29,5;18,386;19,92;21,203
CA001038205;50,5333;-127,65;5;8;21,8;27,7;28,6;18,136;19,7;20,643
CA001038332;49,0833;-125,7667;4;7;19,058;25,5;29,5;17,4585;18,398;20,8825
CA001043152;48,95;-125,5333;3,8;10;22,5;25,5;30,4;19,563;20,6;22,8684
CA001045100;49,3833;-123,5333;4;12,5;25,3;26,35;29;20,6675;21,113;23,4295
CA001046391;49,4667;-123,9167;3,4;12;28;29,7;32,68;21,278;22,911;24,98
CA001054500;49,8333;-124,5;3;11;15,5;19,9;31,2;14,486;15,507;18,461
CA001054925;54,25;-133,05;1;94;17,502;17,502;17,502;16,469;16,469;16,469
